Index	text	level
0	Geweldig nieuws: correspondent Rutger Bregman heeft de NS Publieksprijs 2020 gewonnen met zijn boek De meeste mensen deugen. Het boek kreeg 26 procent van een recordaantal uitgebrachte stemmen (159.905). We zijn ontzettend blij met en dankbaar voor de prijs. Het boek had nooit het licht gezien zonder jullie, de leden en boekenlezers die onze journalistiek mogelijk maken. Ook stemden jullie massaal op het boek. Rutger zelf zegt de NS Publieksprijs ‘de mooiste boekenprijs van Nederland’ te vinden, omdat het ‘een prijs is die niet door geleerde juryleden, deftige commissies of comités van boekhandelaren wordt bepaald, maar door lezers zelf’. Ontzettend bedankt voor jullie steun!	B1
1	Van 9 tot en met 14 februari 2018 is Varen doe je Samen! aanwezig op watersportbeurs Boot Holland in Leeuwarden. In samenwerking met de Provincies Fryslân, Groningen en Rijkswaterstaat wordt er voorlichting gegeven over de veiligheid op het water. Veilig varen Tijdens Boot Holland kunnen bezoekers op de stand van Varen doe je Samen! volop informatie en voorlichting over veilig varen krijgen, vooral op de plekken waar recreatievaart en beroepsvaart elkaar ontmoeten. De nadruk ligt op de beschikbaarheid van alternatieve routes ten opzichte van de door beroepsvaart drukbevaren hoofdvaarweg Lemmer-Delfzijl. Op de stand zijn watersporters welkom voor praktische tips, brochures en kunnen ze direct in gesprek met vertegenwoordigers van de vaarwegbeheerders (Rijkswaterstaat en provincies Friesland en Groningen). Ook kunnen ze op een (interactieve) vaarkaart van Noord-Nederland hun knelpunten aangeven en bespreken. Daarnaast zullen er regionale filmbeelden getoond worden van specifieke situaties op het water, zoals bijvoorbeeld het traject Lemmer – Delfzijl. Veiligheidsplein Boot Holland De 28e editie van watersportbeurs Boot Holland vormt naar eigen zeggen de aftrap van het watersportseizoen. Bij Varen doe je Samen! (stand 5033) staan de samenwerkingspartners KNRM, Hydrografische Dienst en het Watersportverbond in de buurt van het Veiligheidsplein in de Friezenhal. In de centrale arena nabij het Veiligheidsplein zullen door deze partijen dagelijks presentaties worden gehouden over onder andere veiligheid en vaarregels.	B1+
2	Een gesprek met Jantine Doornbos, eigenaar van FoodDrop en Dropper Al die bezorgscooters- en auto’s door de stad, kan dat niet anders? Met die gedachte start Jantine Doornbos in 2016 FoodDrop en in 2019 Dropper. “Toen het bedrijf net bestond, bezorgden we gezonde maaltijden, maar ook de betere pizza’s en hamburgers. Tegenwoordig droppen we echt van alles: van schoenen tot koffie.” Over FoodDrop en Dropper Branche: Software as a service, matchmaking tussen lokale verzenders en koeriers Opgericht in: 2016 en 2019 Aantal collega’s: 12 Actief in: Groningen Het idee voor FoodDrop ontstaat als Jantine in Groningen op het terras zit en bezorgscooters rijden af en aan ziet rijden. “Veel restaurants hadden een eigen bezorgdienst om eten bij mensen thuis te brengen. Dat kan anders, vond ik, en vooral veel duurzamer. Het leek me logischer om de bezorgdiensten te bundelen: zij bezorgen, restaurants koken. Zo doet iedereen waar hij of zij goed in is.” Ze studeert op dat moment informatiekunde en weet hoe ze moet programmeren. Twee weken later heeft ze de basis van het FoodDrop-platform staan en betrekt ze horecaondernemers uit haar netwerk bij haar plan. In korte tijd is	A2+
3	Een gesprek met Boudewijn, Mark en Dave, eigenaren van Block & Barrels en Barra. Dit verhaal ging in eerste instantie over ondernemers met een groeiend bedrijf. Maar toen kwam corona. We gingen opnieuw bij de horecamannen op bezoek om te praten over ondernemen in coronatijd. Een driegangendiner aan huis, een interactieve kookshow, noem maar op. Restaurants verzinnen in coronatijd creatieve ideeën om aan het werk te blijven en zichtbaar te zijn. Toch zijn er horecaondernemers die het niet zo aanpakken en zich op een andere manier in de kijker spelen. Over Block & Barrels en Barra Branche: horeca Opgericht in: 2017 en 2019 Aantal medewerkers: in totaal zo’n 30 Gevestigd in: Groningen Boudewijn en de Zuid-Afrikaanse broers Mark en Dave zijn vrienden en horecaondernemers in Groningen. In 2017 openen ze hun eerste zaak: Block & Barrels. Het restaurant staat in hartje stad en focust zich op duurzaam vlees en speciaalbier, dit alles in een pubsfeer. De mannen werken samen met lokale leveranciers en serveren producten uit de regio.	B1
4	Aan de kades van de Oudegracht De Oudegracht is het sfeervolle hart van de stad. In de middeleeuwen was het hier een drukte van belang met de aan- en afvoer van goederen. Nu is het een prachtige plek om te winkelen en te lunchen of te dineren in de oude stadskastelen. 10.00: Koffie in Het Gegeven Paard Vanuit de lichte en moderne stationshal van het Centraal Station van Utrecht loop je door het overdekte winkelcentrum Hoog Catharijne naar TivoliVredenburg op de hoek van de Catharijnesingel. Dit muziekgebouw herbergt het grand café Het Gegeven Paard, waar je heerlijk met een kop koffie kunt neerstrijken aan de lange tafels. De snelste route naar de Oudegracht, het centrum van Utrecht, loopt over de Lange Viestraat. Vredenburgkade 11, Cafehetgegevenpaard.nl 11.00: Mode bij Hutspot Vervolg je weg langs de Oudegracht en bewonder de oude panden. Neem ook eens een zijweggetje, zoals de Vinkenburgstraat, die voetgangers vanaf de Oudegracht naar de Neude leidt. Het is The Walk of Fame van Utrecht. Ieder jaar krijgen de winnaars van de Gouden Kalveren – de prijzen die tijdens het Nederlands Film Festival worden uitgereikt – er een eigen gouden tegel. Zo slenter je via de handafdrukken van onder anderen Georgina Verbaan, Barry Atsma en Carice van Houten richting hotspot Hutspot. In deze strak ingerichte conceptstore wordt moois van modelabels gecombineerd met lifestyle must haves en interieuraccessoires.	B2
5	"In Leeuwarden is vanavond een groep van honderd tot tweehonderd Cambuursupporters samengekomen om de overwinning van de club op Excelsior te vieren. Cambuur werd daardoor winterkampioen in de eerste divisie. De spelersbus werd door een groep supporters onthaald. Daarbij werd vuurwerk afgestoken. Op beelden was te zien een groot deel van de mensen onvoldoende afstand hield en geen mondkapje droeg. Er werden geen arrestaties verricht. De politie was ter plaatse bij het Cambuurstadion, maar greep niet in. Volgens een politiewoordvoerder duurde het ongeveer een half uur tot drie kwartier en konden de agenten op het moment zelf niet handhaven. Daarover wil de politie verder niets kwijt. De beelden zullen bestudeerd worden en mogelijk krijgen supporters alsnog een boete thuisgestuurd. Niet blij Cambuurtrainer Henk de Jong had supporters juist opgeroepen om geen feest te vieren. Hierover waren van tevoren ook afspraken gemaakt met de gemeente, zegt de politie. De gemeente Leeuwarden is niet blij dat men ""massaal op straat was"", laat een woordvoerder weten. ""We snappen dat de supporters blij zijn, maar het is niet de bedoeling dat mensen op straat gaan feestvieren."""	B1+
6	Dit stuk schreven we op 11 maart, voordat verplicht thuiswerken ineens de realiteit voor vrijwel heel Nederland werd. Nu, op 16 maart, we het zo real life met z’n allen uitproberen, hopen we dat de suggesties écht zo goed werken. Als we betere ontdekkingen doen, of als we die horen van onze klanten, dan zullen we die hier ook delen. Bij Voys werken we vaak remote. Daarnaast hebben we teams op verschillende locaties die veel met elkaar samenwerken. We schreven eerder al eens stukken over remote werken en lange periodes werken in bijvoorbeeld het buitenland. Maar wat als je -noodgedwongen- een aantal weken thuis mag werken? Of dat een heel team een tijd fysiek niet bij elkaar komt, dat je elkaar niet in levenden lijve ziet? Welke tips, tools en werkprocessen kunnen je op dat moment helpen? Dat zochten we voor je uit, het resultaat: 15 tips om van thuiswerken een succes te maken. Werkprocessen 1. Maak spelregels Maak duidelijke spelregels voor thuiswerk. Dit geeft duidelijkheid voor degenen die thuiswerken en voor de collega’s die dat niet doen. Denk aan spelregels over over werktijden, beschikbaarheid maar ook over bijvoorbeeld communicatie en het gebruik van tools. 2. Communiceer duidelijk Omdat je elkaar minder ‘ziet’, kan er onduidelijkheid en frustratie ontstaan.	B1+
7	Het lijkt erop dat 2020, samen met 2014, het warmste jaar ooit gemeten wordt. Gemiddeld was het dit jaar 11,7 graden. Het was in 2020 maar liefst 225 dagen warmer dan normaal. Alleen in mei en juli was het wat kouder dan gemiddeld, in alle andere maanden was het warmer. Vooral in januari en februari was dat zo. Het heeft in 2020 maar een paar dagen gevroren. In andere jaren gebeurde dat vaker. Records Dit jaar werden ook veel nieuwe warmterecords gehaald. Op 15 september werd de hoogste temperatuur ooit in september gemeten. Bij het officiële weerstation in De Bilt werd het toen 31,4 graden.	A2+
8	Er zijn momenten dat ik me ineens erg oud voel. Op 6 juni 2014 was de 30-ste verjaardag van Tetris. En ook ergens dit jaar is het de 30-ste verjaardag van Ghostbusters. Ik herinner me van Ghostbusters vooral het melodietje dat (op mijn Commodore 64) zonder veel variatie maar door bleef gaan. Aan het spel zelf heb ik niet zo veel tijd besteed. Op dit moment zijn er nog legio Ghostbuster attributen te koop. Bron: http://www.youtube.com/watch?v=Hz5VvMItHmM En Tetris had ook als zo’n herkenbaar geluidje. Dit was echt verslavend en het gaat helemaal nergens over. Ik herinner me een LCD versie (Brick Game, nog steeds te koop voor 2,50 euro) die op de wc terecht was gekomen maar daar na verloop van tijd toch weer uit verbannen is 🙂 Bron: http://www.youtube.com/watch?v=H1yQQZm7Vvc Waarom was Tetris zo verslavend? Tom Stafford bekijkt “The psychology of Tetris”. Tom beschrijft het Zeigarnik Effect waar bij ons brein zich richt op nog niet voltooide taken, maar voltooide taken ook weer direct vergeet. Een verschijnsel dat ik in de klas ook wel zie. Leerlingen zijn druk bezig met een opdracht of opgave. Ze overleggen met buren. Komen tot een juiste conclusie. En als ik dan even later een andere opdracht geeft over hetzelfde onderwerp dan hebben leerlingen geen idee meer.	B1+
9	Dit voorjaar is het vijf jaar geleden dat we bij Voys begonnen met Holacracy. Hoe staat het er nu voor en wat hebben we geleerd van het organisatiemodel? Dat vertellen we in de reeks ‘5 jaar Holacracy’. Dit verhaal is het derde en laatste deel uit de reeks. Last, but zeker not least, deelt collega Wouter, Holacracy Coach bij Voys, de vijf lessen die we van Holacracy hebben geleerd. In het eerste deel legt collega Mark uit wie de knopen doorhakt in een zelfsturende organisatie. In het tweede deel geeft Diederick Janse, mede-oprichter van Energized.org en mede-auteur van het boek ‘Getting Teams Done’, antwoord op de tien meestgestelde vragen over Holacracy. Hoe staat het ervoor? Na vijf jaar Holacracy beoefenen, wordt het tijd voor een evaluatie. Hoe staan we er nu voor en wat hebben we geleerd in de afgelopen jaren? De antwoorden op deze vragen heb ik gebundeld in vijf lessen, op naar de eerste. Les 1: Holacracy is niet compleet Wie denkt dat je met Holacracy alle processen binnen je bedrijf regelt, heeft het mis. Het organisatiemodel geeft geen antwoord op de vraagstukken en problemen die er zijn als je begint met het beoefenen ervan.	B1+
