correct	VR	corrected	prob
De meeste mensen deugen 	De deugen meeste mensen 	De deugen meeste mensen	4.288443961583378e-14
Ontzettend bedankt voor jullie steun 	Ontzettend voor bedankt jullie steun 	Ontzettend bedankt voor jullie steun	1.5032424529434477e-21
Maar toen kwam corona 	Maar toen corona kwam 	Maar toen corona kwam	3.077658461541119e-16
Daarbij werd vuurwerk afgestoken 	Daarbij afgestoken vuurwerk werd 	Daarbij werd vuurwerk afgestoken	1.4033950302639283e-20
Er werden geen arrestaties verricht 	werden verricht Er geen arrestaties 	Er werden geen arrestaties verricht	4.3120909014687796e-19
Maak duidelijke spelregels voor thuiswerk 	duidelijke spelregels voor thuiswerk Maak 	duidelijke spelregels Maak voor thuiswerk	2.788091550124266e-24
Waarom was Tetris zo verslavend 	was Waarom Tetris zo verslavend 	Waarom Tetris zo verslavend was	1.678683747375101e-20
Ze overleggen met buren 	overleggen Ze met buren 	Ze overleggen met buren	1.4886083790582557e-17
Komen tot een juiste conclusie 	tot een juiste Komen conclusie 	Komen tot een juiste conclusie	4.13458803328342e-18
Hoe staat het ervoor 	staat Hoe het ervoor 	Hoe staat het ervoor	2.087899494392924e-13
Dat is een groot pluspunt 	Dat een is groot pluspunt 	Dat is een groot pluspunt	1.1704128536262618e-14
Dat aangeboren systeem is aspecifiek 	Dat aangeboren is systeem aspecifiek 	Dat aangeboren systeem is aspecifiek	1.8502739295716896e-20
Deze afweer heeft twee vormen 	heeft Deze afweer twee vormen 	Deze afweer heeft twee vormen	7.702553813040882e-20
Moet ik aangifte erfbelasting doen 	ik aangifte doen erfbelasting Moet 	ik Moet aangifte erfbelasting doen	2.9889961824371433e-20
Schud geen handen 	geen Schud handen 	geen Schud handen	6.193211217746828e-17
Hebt u een afspraak 	u Hebt een afspraak 	Hebt u een afspraak	2.927090124152788e-14
Kom zo veel mogelijk alleen 	zo Kom veel mogelijk alleen 	zo veel mogelijk Kom alleen	3.574692251247723e-18
Hebt u hulp nodig 	u hulp Hebt nodig 	Hebt u hulp nodig	5.485970433127191e-17
Wij helpen u graag verder 	Wij u graag helpen verder 	Wij helpen u graag verder	3.711295028433654e-19
Wilt u liever langskomen 	langskomen u Wilt liever 	Wilt u liever langskomen	8.538474460816363e-18
Dan kan ook 	kan Dan ook 	Dan kan ook	1.160488092997841e-11
De tweede bel is gegaan 	De tweede is bel gegaan 	De tweede bel is gegaan	5.532187478576398e-17
En geeft dus een antwoord 	En dus geeft een antwoord 	En dus geeft een antwoord	1.73097894583258e-16
Welke achternaam krijgt uw kind 	krijgt Welke achternaam uw kind 	Welke achternaam krijgt uw kind	3.0330063827877673e-19
De longen bestaan uit longblaasjes 	bestaan De longen uit longblaasjes 	De longen bestaan uit longblaasjes	1.5199767705396607e-18
Om de longblaasjes lopen bloedvaatjes 	Om lopen de longblaasjes bloedvaatjes 	Om de longblaasjes lopen bloedvaatjes	3.782054440599708e-18
Maar het kan ook anders 	kan Maar het ook anders 	Maar het kan ook anders	1.491729367709839e-13
Hiv is een virus 	Hiv een is virus 	Hiv is een virus	1.251838136744155e-17
Daar verdubbelt hij zich telkens 	Daar hij verdubbelt zich telkens 	Daar hij zich telkens verdubbelt	1.4554669338446442e-18
Het virus wordt groter 	Het virus groter wordt 	Het virus wordt groter	2.2487015115787278e-15
Je lichaam heeft een immuunsysteem 	heeft Je lichaam een immuunsysteem 	Je lichaam heeft een immuunsysteem	4.130087657320207e-17
Zo moet dat dus kindertjes 	Zo dat moet dus kindertjes 	Zo moet dat dus kindertjes	3.3833759668418437e-19
Hoe zit dat eigenlijk 	zit Hoe dat eigenlijk 	Hoe zit dat eigenlijk	2.4009669893405495e-12
Helpt een keurmerk dan nog 	een keurmerk dan nog Helpt 	een keurmerk Helpt dan nog	9.083140435394023e-20
Hiertegen was veel tegenstand 	Hiertegen veel tegenstand was 	Hiertegen was veel tegenstand	4.7720134459273506e-18
Is dat iets voor jou 	dat iets voor Is jou 	dat Is iets voor jou	6.241851435264134e-15
Hiervoor moet je gestudeerd hebben 	moet hebben Hiervoor gestudeerd je 	Hiervoor moet je hebben gestudeerd	2.581575286786384e-18
De arm wordt dan gebogen 	De gebogen arm dan wordt 	De arm wordt dan gebogen	1.8598714122800062e-17
Dit principe heet antagonisme 	Dit principe antagonisme heet 	Dit principe heet antagonisme	1.3791423230205758e-17
De arm wordt dan gebogen 	De gebogen arm wordt dan 	De arm wordt dan gebogen	1.8598714122800062e-17
De triceps wordt hierdoor uitgerekt 	wordt De triceps uitgerekt hierdoor 	De triceps wordt hierdoor uitgerekt	1.3364925364357578e-17
De biceps wordt uitgerekt 	De wordt biceps uitgerekt 	De biceps wordt uitgerekt	1.0580324921873358e-13
Ik schreeuw het uit 	Ik het uit schreeuw 	Ik het uit schreeuw	1.5448069397628604e-18
Daarna kijk ik voorbij Caldicot 	kijk Daarna ik voorbij Caldicot 	Daarna kijk ik voorbij Caldicot	5.701637362064495e-22
Vluchtelingenjongeren vormen een kwetsbare groep 	Vluchtelingenjongeren een kwetsbare groep vormen 	Vluchtelingenjongeren vormen een kwetsbare groep	3.3356115983081522e-18
Asscher getuigde voor die commissie 	Asscher voor getuigde die commissie 	Asscher voor die getuigde commissie	1.5728301501121539e-18
Wat zijn de Algemene Voorwaarden 	zijn Wat de Algemene Voorwaarden 	Wat zijn de Algemene Voorwaarden	2.6308191128048786e-17
Een naadverbinding is stevig 	Een naadverbinding stevig is 	Een naadverbinding is stevig	4.5576432432529675e-14
Tussen de wervels zitten kraakbeenschijven 	Tussen zitten de wervels kraakbeenschijven 	Tussen de wervels zitten kraakbeenschijven	1.1861110121668974e-19
In het gewricht zit gewrichtssmeer 	zit In het gewricht gewrichtssmeer 	In het gewricht zit gewrichtssmeer	1.3622433325533048e-18
Behalve als je dement bent 	Behalve als je bent dement 	Behalve als je dement bent	3.249302928600613e-19
En hoe kan het wél 	En kan hoe het wél 	En hoe kan het wél	6.975216684507828e-15
Waarom is me een raadsel 	Waarom me is een raadsel 	Waarom is me een raadsel	1.0343817621201107e-17
Een eenvoudig antwoord is mi 	Een eenvoudig antwoord mi is 	Een eenvoudig antwoord is mi	5.175851239412686e-19
Verschillende ontwikkelingen kunnen onderwijsinnovaties bevorderen 	Verschillende bevorderen kunnen ontwikkelingen onderwijsinnovaties 	Verschillende bevorderen ontwikkelingen onderwijsinnovaties kunnen	4.6644875115629906e-24
Laat leerstof actief verwerken 	leerstof Laat verwerken actief 	leerstof Laat actief verwerken	1.9677407325740812e-22
Dit stond erin 	stond Dit erin 	Dit stond erin	1.0726037637232093e-12
En dat heb ik gedaan 	gedaan heb En dat ik 	En dat heb ik gedaan	1.9353482386966315e-12
Dit is dat briefje 	Dit dat briefje is 	Dit is dat briefje	1.7558589894769377e-14
Ze las het en zuchtte 	las Ze het zuchtte en 	Ze las het en zuchtte	5.013369319770159e-18
Het was weer zover 	Het weer was zover 	Het was weer zover	3.751484183954718e-13
Was alles in orde 	alles in orde Was 	alles Was in orde	4.8438759084491406e-15
Niets wat opviel 	Niets opviel wat 	Niets opviel wat	5.893244076986191e-15
Dat was het belangrijkste 	Dat het belangrijkste was 	Dat was het belangrijkste	1.399471241127299e-10
In het bloedplasma zitten plasmaeiwitten 	In zitten het bloedplasma plasmaeiwitten 	In het bloedplasma zitten plasmaeiwitten	1.740445866626463e-16
